store_id,store_name,link_url
00000127,八重倉,https://tabelog.com/fukuoka/A4001/A400102/40013597/
00000128,キッチンアンドバー・アンツ,https://tabelog.com/fukuoka/A4001/A400102/40001811/
00000129,日本酒BAR TOKKURI,https://tabelog.com/fukuoka/A4001/A400102/40053931/
00000130,味路地夜市,https://tabelog.com/fukuoka/A4001/A400102/40058990/
00000131,辛麺 一矢,https://tabelog.com/fukuoka/A4001/A400102/40045793/
00000132,ワイン食堂ピノピノ,https://tabelog.com/fukuoka/A4001/A400102/40060201/
00000133,博多 なぎの木 中洲川端店,https://tabelog.com/fukuoka/A4001/A400102/40064987/
00000134,博多 神奈比,https://tabelog.com/fukuoka/A4001/A400102/40002150/
00000135,魚や 三歩,https://tabelog.com/fukuoka/A4001/A400102/40067111/
00000136,ウドン・酒場カイネ,https://tabelog.com/fukuoka/A4001/A400102/40056297/
00000137,お料理じょう甲,https://tabelog.com/fukuoka/A4001/A400102/40064555/
00000138,一期一会,https://tabelog.com/fukuoka/A4001/A400102/40062838/
00000139,呑兵衛,https://tabelog.com/fukuoka/A4001/A400102/40038681/
00000140,コノ花まひろ,https://tabelog.com/fukuoka/A4001/A400102/40037860/
00000141,ザ シューティングバー 中洲店,https://tabelog.com/fukuoka/A4001/A400102/40034525/
00000142,寅火,https://tabelog.com/fukuoka/A4001/A400102/40031489/
00000143,兼平鮮魚店 中洲はなれ,https://tabelog.com/fukuoka/A4001/A400102/40045105/
00000144,まる家善太,https://tabelog.com/fukuoka/A4001/A400102/40021986/
00000145,元祖博多蒸し手羽 TEBASTA 中洲本店,https://tabelog.com/fukuoka/A4001/A400102/40053261/
00000146,肉料理ゆう,https://tabelog.com/fukuoka/A4001/A400102/40055055/
00000147,築地すし鮮 中洲川端駅店,https://tabelog.com/fukuoka/A4001/A400102/40005542/
00000148,博多らーめんShinShin 古門戸町店,https://tabelog.com/fukuoka/A4001/A400102/40066520/
00000149,博多にらそば 熊楠家 中洲本店,https://tabelog.com/fukuoka/A4001/A400102/40060539/
00000150,芋 中洲店,https://tabelog.com/fukuoka/A4001/A400102/40018805/
00000151,唐八,https://tabelog.com/fukuoka/A4001/A400102/40036545/
00000152,バー エイト,https://tabelog.com/fukuoka/A4001/A400102/40036758/
00000153,屋台　丸十,https://tabelog.com/fukuoka/A4001/A400102/40026205/
00000154,元祖 中洲屋台ラーメン 一番一竜 川端店,https://tabelog.com/fukuoka/A4001/A400102/40004194/
00000155,焼肉はやま,https://tabelog.com/fukuoka/A4001/A400102/40025489/
